,zip,city,county,lat,long
362,92054,Oceanside,San Diego,33.2072,-117.3573
363,95337,Manteca,San Joaquin,37.7808,-121.2344
364,93454,Santa Maria,Santa Barbara,34.9545,-120.4325
365,90604,Whittier,Los Angeles,33.9299,-118.0121
366,91401,Van Nuys,Los Angeles,34.1802,-118.4324
367,95833,Sacramento,Sacramento,38.6157,-121.5053
368,95695,Woodland,Yolo,38.6816,-121.8052
369,95129,San Jose,Santa Clara,37.3066,-122.0002
370,92806,Anaheim,Orange,33.8356,-117.8681
371,90278,Redondo Beach,Los Angeles,33.8707,-118.3715
372,95838,Sacramento,Sacramento,38.6406,-121.444
373,95765,Rocklin,Placer,38.8136,-121.2677
374,91701,Rancho Cucamonga,San Bernardino,34.1376,-117.5999
375,95301,Atwater,Merced,37.3489,-120.6028
376,92231,Calexico,Imperial,32.6832,-115.5028
377,92675,San Juan Capistrano,Orange,33.5085,-117.6565
378,93534,Lancaster,Los Angeles,34.6909,-118.1491
379,90045,Los Angeles,Los Angeles,33.9631,-118.3941
380,93552,Palmdale,Los Angeles,34.5715,-118.0231
381,90808,Long Beach,Los Angeles,33.8241,-118.1103
382,92337,Fontana,San Bernardino,34.0498,-117.4706
383,91763,Montclair,San Bernardino,34.0733,-117.6987
384,90031,Los Angeles,Los Angeles,34.0783,-118.2113
385,95835,Sacramento,Sacramento,38.6626,-121.4834
386,90020,Los Angeles,Los Angeles,34.0665,-118.3022
387,91739,Rancho Cucamonga,San Bernardino,34.1705,-117.5182
388,90301,Inglewood,Los Angeles,33.955,-118.3556
389,92083,Vista,San Diego,33.1978,-117.2482
390,95826,Sacramento,Sacramento,38.5539,-121.3693
391,95691,West Sacramento,Yolo,38.5673,-121.5516
392,90802,Long Beach,Los Angeles,33.7706,-118.182
393,92821,Brea,Orange,33.9291,-117.8845
394,92706,Santa Ana,Orange,33.7691,-117.8855
395,94611,Oakland,Alameda,37.8471,-122.2223
396,94954,Petaluma,Sonoma,38.2507,-122.6155
397,90005,Los Angeles,Los Angeles,34.0585,-118.3012
398,95050,Santa Clara,Santa Clara,37.3492,-121.953
399,95401,Santa Rosa,Sonoma,38.4432,-122.7547
400,92307,Apple Valley,San Bernardino,34.5291,-117.2132
401,94520,Concord,Contra Costa,37.9823,-122.0362
402,93305,Bakersfield,Kern,35.3855,-118.986
403,93711,Fresno,Fresno,36.8303,-119.8319
404,94044,Pacifica,San Mateo,37.6196,-122.4816
405,91776,San Gabriel,Los Angeles,34.089,-118.0955
406,95928,Chico,Butte,39.7224,-121.8113
407,91350,Santa Clarita,Los Angeles,34.4336,-118.5007
408,94583,San Ramon,Contra Costa,37.7562,-121.9522
409,92508,Riverside,Riverside,33.8897,-117.3043
410,95404,Santa Rosa,Sonoma,38.4405,-122.7144
411,93245,Lemoore,Kings,36.2682,-119.8173
412,92037,La Jolla,San Diego,32.8455,-117.2521
413,95121,San Jose,Santa Clara,37.3042,-121.8099
414,93021,Moorpark,Ventura,34.2784,-118.8771
415,95120,San Jose,Santa Clara,37.2144,-121.8574
416,94061,Redwood City,San Mateo,37.4647,-122.2304
417,90804,Long Beach,Los Angeles,33.7857,-118.1357
418,95688,Vacaville,Solano,38.3847,-121.9887
419,90036,Los Angeles,Los Angeles,34.0699,-118.3492
420,95382,Turlock,Stanislaus,37.5239,-120.8517
421,94555,Fremont,Alameda,37.5735,-122.0469
422,91104,Pasadena,Los Angeles,34.1678,-118.1261
423,95993,Yuba City,Sutter,39.1237,-121.6611
424,94606,Oakland,Alameda,37.7957,-122.2429
425,91205,Glendale,Los Angeles,34.1378,-118.2425
426,92543,Hemet,Riverside,33.7416,-116.973
427,94590,Vallejo,Solano,38.1053,-122.2474
428,95825,Sacramento,Sacramento,38.5892,-121.4057
429,90012,Los Angeles,Los Angeles,34.0614,-118.2385
430,91340,San Fernando,Los Angeles,34.2875,-118.4352
431,95476,Sonoma,Sonoma,38.2849,-122.4696
432,95205,Stockton,San Joaquin,37.9625,-121.2624
433,91362,Thousand Oaks,Ventura,34.1948,-118.8232
434,95126,San Jose,Santa Clara,37.3249,-121.9153
435,90505,Torrance,Los Angeles,33.8106,-118.3507
436,95660,North Highlands,Sacramento,38.6707,-121.3781
437,91001,Altadena,Los Angeles,34.1912,-118.1392
